@relation data

@attribute att1 {Color,' Black and White'}
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 {English,Mandarin,Aboriginal,Spanish,French,Filipino,Maya,Kazakh,Telugu,Cantonese,Japanese,Aramaic,Italian,Dutch,Dari,German,Mongolian,Thai,Bosnian,Korean,Hungarian,Hindi,Icelandic,Danish,Portuguese,Norwegian,Czech,Russian,None,Zulu,Hebrew,Dzongkha,Arabic,Vietnamese,Indonesian,Romanian,Persian,Swedish}
@attribute att7 {USA,UK,'New Zealand',Canada,Australia,Germany,China,'New Line',France,Japan,Spain,'Hong Kong','Czech Republic',Peru,'South Korea',India,Aruba,Denmark,Belgium,Ireland,'South Africa',Italy,Romania,Chile,Netherlands,Hungary,Russia,Mexico,Greece,Taiwan,'Official site',Thailand,Iran,'West Germany',Georgia,Iceland,Brazil,Finland,Norway,Argentina,Colombia,Poland,Israel,Indonesia,Afghanistan,Sweden,Philippines}
@attribute att8 {PG-13,PG,G,R,Approved,NC-17,X,'Not Rated',Unrated,M,GP,Passed}
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric

@data
Color,77,79,2126,4155,English,USA,PG,4,4,2,0
' Black and White',27,80,402,874,English,USA,PG-13,4,4,4,1
Color,27,81,436,2103,English,USA,PG-13,4,4,4,1
Color,78,82,60,594,English,Germany,R,4,4,4,0
Color,9,83,113,2150,English,UK,PG-13,4,4,4,1
Color,36,83,113,115,English,UK,PG-13,4,4,4,1
Color,21,14,233,39,English,USA,PG-13,4,4,2,1
Color,70,14,638,4156,English,USA,PG-13,4,4,2,1
Color,24,1,18,2277,English,USA,PG,4,4,2,1
Color,61,84,46,508,English,USA,G,4,4,2,1
Color,3,34,22,130,English,USA,PG-13,4,4,2,1
Color,79,85,96,354,English,USA,PG,4,4,2,1
Color,80,86,299,250,English,USA,PG,4,4,2,1
Color,81,25,32,4157,English,USA,PG-13,4,4,2,1
Color,44,87,2127,2327,English,Australia,R,4,4,4,0
Color,82,88,2128,4158,English,USA,PG,4,4,2,1
Color,44,89,2129,4159,English,USA,R,4,4,4,1
Color,76,8,131,82,English,USA,PG-13,4,4,2,1
Color,83,3,233,704,English,Australia,R,4,4,2,0
Color,84,33,259,419,English,USA,PG-13,4,4,4,0
Color,85,8,131,82,English,USA,PG-13,4,4,2,1
Color,86,53,856,4160,English,USA,PG,4,4,2,0
Color,87,90,2130,4161,English,USA,PG,4,4,2,0
Color,88,22,962,4162,English,USA,PG-13,4,4,2,0
Color,24,1,53,18,English,USA,PG-13,4,4,2,0
Color,89,56,119,3087,English,China,PG-13,4,4,4,1
Color,90,82,1620,4163,English,USA,R,4,4,2,0
Color,9,2,788,4143,English,USA,PG-13,4,4,2,0
Color,91,91,150,737,English,USA,PG,4,4,2,0
Color,92,60,61,4164,English,USA,PG,4,4,2,1
Color,93,92,2131,883,English,USA,PG,4,4,2,0
Color,34,93,56,39,English,USA,PG-13,4,4,2,0
Color,42,50,2132,4165,English,USA,PG-13,4,4,4,0
Color,94,94,1460,1577,English,USA,PG,4,4,2,0
Color,95,25,141,2622,English,UK,PG,4,4,2,0
Color,96,25,745,2291,English,USA,PG,4,4,2,0
Color,97,95,2133,4166,English,USA,PG,4,4,2,0
Color,72,75,180,699,English,USA,R,4,4,4,0
Color,79,96,183,354,English,USA,PG,4,4,2,1
' Black and White',98,97,105,570,English,UK,PG-13,4,4,4,1
Color,99,98,2134,4167,English,USA,PG-13,4,4,2,0
Color,27,99,26,296,English,USA,PG-13,4,4,4,1
Color,15,14,169,737,English,USA,PG-13,4,4,2,1
Color,43,49,82,4168,English,USA,PG-13,4,4,2,0
Color,100,6,60,317,English,USA,PG,4,4,2,0
Color,61,56,119,1101,English,USA,PG-13,4,4,4,1
Color,101,25,2135,2244,English,USA,PG,4,4,2,0
Color,102,100,457,4169,English,USA,PG-13,4,4,2,1
Color,103,56,1022,2548,English,USA,R,4,4,4,0
Color,18,34,1063,2370,English,UK,PG-13,4,4,4,0
Color,34,8,194,236,English,USA,PG-13,4,4,2,1
Color,6,6,182,396,English,USA,PG-13,4,4,2,1
Color,64,69,153,721,English,USA,PG,4,4,2,1
Color,104,69,2136,2148,English,USA,PG-13,4,4,2,0
Color,49,101,155,2185,English,USA,PG-13,4,4,2,0
Color,10,102,852,1296,English,USA,R,4,4,4,0
Color,105,54,575,4170,English,USA,R,4,4,2,0
Color,106,103,2137,2477,English,USA,PG-13,4,4,4,0
Color,107,50,138,2136,English,USA,PG-13,4,4,2,0
Color,108,72,674,304,English,UK,PG-13,4,4,2,0
Color,109,26,193,3359,English,USA,PG-13,4,4,2,0
Color,90,104,78,177,English,USA,PG-13,4,4,2,1
Color,77,105,2138,643,English,UK,PG-13,4,4,2,0
Color,110,106,2139,4171,English,USA,PG-13,4,4,4,0
Color,111,83,224,330,English,USA,PG-13,4,4,2,1
Color,83,86,75,1126,English,Australia,PG,4,4,2,0
Color,112,95,1073,1030,English,USA,PG-13,4,4,4,0
Color,38,108,2141,2157,English,UK,PG,4,4,2,0
Color,114,20,3,3409,English,USA,R,4,4,4,1
Color,115,32,337,3662,English,USA,PG,4,4,2,0
Color,1,1,167,388,English,USA,PG,4,4,2,0
Color,79,38,2142,4173,English,USA,PG,4,4,2,0
Color,116,109,962,24,English,USA,PG-13,4,4,2,1
Color,117,60,317,1460,English,USA,PG,4,4,2,1
Color,118,65,177,978,English,USA,PG-13,4,4,2,1
Color,70,37,162,691,English,USA,PG-13,4,4,4,1
Color,111,83,224,330,English,USA,PG-13,4,4,2,1
Color,119,110,2143,4174,English,USA,PG,4,4,2,1
Color,38,56,503,2420,English,USA,PG-13,4,4,2,1
Color,27,14,2144,528,English,USA,R,4,4,4,0
Color,74,111,2145,2916,English,USA,PG,4,4,2,1
Color,120,60,2146,4175,English,USA,PG-13,4,4,2,0
Color,121,82,341,187,English,USA,PG-13,4,4,4,0
Color,38,112,2147,118,English,USA,PG,4,4,2,0
Color,122,113,61,115,English,UK,PG,4,4,4,1
Color,35,87,2148,4176,English,Australia,PG-13,4,4,4,0
Color,93,14,704,27,English,USA,PG-13,4,4,2,0
Color,123,114,2149,4177,English,USA,PG,4,4,2,0
Color,80,86,299,250,English,USA,PG,4,4,2,0
Color,125,6,75,166,English,USA,PG,4,4,2,1
Color,126,113,2150,316,English,UK,PG,4,4,4,1
Color,127,32,30,1226,English,USA,PG-13,4,4,2,0
Color,1,1,180,1023,English,USA,PG-13,4,4,4,1
Color,70,37,93,162,English,USA,PG-13,4,4,2,1
Color,84,33,2151,1127,English,USA,PG-13,4,4,4,1
Color,128,116,2152,4180,English,USA,G,4,4,2,1
Color,11,25,2153,4047,English,Canada,PG-13,4,4,4,1
Color,41,74,127,138,English,USA,PG-13,4,4,4,1
Color,129,21,39,2727,English,USA,PG-13,4,4,4,1
Color,112,22,251,2160,English,USA,PG-13,4,4,2,1
Color,130,117,2154,1278,English,USA,R,4,3,2,1
Color,131,118,2155,992,English,USA,R,4,4,2,0
Color,132,119,582,1878,English,USA,PG-13,4,4,4,0
Color,133,120,68,4181,English,USA,PG-13,4,4,2,0
Color,84,121,2156,2893,English,USA,PG,4,4,2,1
Color,42,40,184,863,English,USA,PG-13,4,4,2,1
Color,134,56,364,2185,English,USA,PG-13,4,4,2,1
Color,72,122,1271,2430,English,USA,PG-13,4,4,4,1
Color,135,104,173,2146,English,USA,PG,4,4,2,0
Color,106,123,2157,4182,English,USA,PG,4,4,2,0
Color,136,76,2158,1209,English,USA,PG-13,4,4,2,0
Color,116,109,2159,3593,English,UK,PG-13,4,4,2,0
Color,32,124,85,537,English,USA,PG-13,4,4,2,0
Color,18,125,233,3087,English,USA,R,4,4,2,0
Color,97,126,7,1132,English,USA,PG,4,4,1,0
Color,137,109,644,638,English,USA,R,4,4,2,0
Color,138,127,2160,4183,English,USA,PG-13,4,4,4,0
Color,139,61,164,398,English,USA,PG-13,4,4,2,0
Color,44,128,2161,4184,English,USA,PG,4,4,4,0
Color,140,129,2162,4185,English,USA,PG-13,4,4,2,0
Color,141,56,363,528,English,USA,PG-13,4,4,2,0
Color,28,130,56,4186,English,USA,PG-13,4,4,2,0
Color,142,131,18,563,English,USA,PG-13,4,4,4,1
Color,142,131,18,563,English,USA,PG,4,4,4,1
Color,45,26,46,630,English,USA,G,4,4,2,1
Color,141,25,2163,4187,English,USA,PG-13,4,4,4,1
Color,142,131,22,953,English,USA,PG,4,4,4,1
Color,143,32,16,76,English,USA,PG,4,4,2,1
Color,134,76,2165,1497,English,USA,R,4,4,4,0
Color,145,8,847,233,English,USA,PG-13,4,4,2,0
Color,88,133,2166,4189,English,USA,PG-13,4,4,2,1
Color,122,134,2167,4190,English,UK,PG-13,4,4,2,1
Color,146,135,2168,47,English,USA,PG-13,4,4,2,0
Color,147,136,133,7,English,USA,PG-13,4,4,2,0
Color,148,137,2169,4191,English,USA,PG-13,4,4,2,0
Color,80,86,299,250,English,USA,PG,4,4,2,1
Color,149,138,173,613,English,USA,PG-13,4,4,2,1
Color,150,139,105,506,English,UK,PG-13,4,4,2,1
Color,42,140,548,384,English,USA,R,4,4,4,0
Color,151,75,218,4192,English,USA,PG-13,4,4,2,1
Color,52,75,60,4193,English,USA,PG-13,4,4,2,1
Color,127,141,283,481,English,USA,PG-13,4,4,2,1
' Black and White',48,20,191,165,English,USA,PG-13,4,4,4,0
Color,46,142,2170,4194,English,USA,PG,4,4,2,0
Color,152,2,384,4195,English,USA,PG-13,4,4,2,0
Color,153,144,1314,1073,English,USA,R,4,4,2,0
Color,154,145,2172,4197,English,USA,PG,4,4,2,1
Color,155,26,2173,4198,English,USA,PG,4,4,1,0
Color,127,19,283,704,English,USA,PG-13,4,4,2,0
Color,80,25,2174,4199,English,USA,PG-13,4,4,2,0
Color,154,146,1549,4200,English,USA,PG,4,4,2,0
Color,156,147,2104,2586,English,USA,PG-13,4,4,2,0
Color,81,42,2175,4201,English,USA,PG-13,4,4,2,0
Color,157,99,2176,2966,English,USA,PG-13,4,4,4,1
Color,16,18,180,2196,English,'New Zealand',PG-13,4,4,4,1
Color,158,51,250,1586,English,USA,PG,4,4,2,0
' Black and White',159,14,96,155,English,USA,R,4,4,4,0
Color,160,148,365,4202,English,USA,PG,4,4,2,0
Color,104,14,236,2253,English,USA,PG-13,4,4,2,1
Color,18,22,180,4203,English,USA,R,4,4,4,0
Color,97,149,126,934,English,Germany,PG,4,4,2,0
Color,161,150,2177,1134,English,USA,G,4,4,2,0
Color,18,109,1722,2495,English,USA,PG-13,4,4,4,1
Color,27,59,26,153,English,USA,PG-13,4,4,4,0
Color,163,152,672,3177,English,'New Line',R,4,4,2,0
Color,164,76,60,226,English,USA,PG-13,4,4,2,1
Color,18,153,263,615,English,USA,R,4,4,4,1
Color,38,56,776,3112,English,USA,PG-13,4,4,4,1
Color,126,113,115,341,English,UK,PG,4,4,4,1
' Black and White',30,144,434,340,English,UK,PG-13,4,4,4,1
Color,24,154,334,730,English,USA,PG-13,4,4,2,1
Color,0,155,2178,2017,English,USA,R,4,3,4,1
Color,159,1,34,1054,English,USA,R,4,4,4,0
Color,18,156,1388,2264,English,USA,R,4,4,4,1
Color,0,157,227,2704,English,USA,R,4,3,4,1
Color,165,156,2179,4204,English,USA,R,4,4,2,0
Color,166,158,754,1443,English,USA,PG-13,4,4,2,1
Color,167,138,166,4205,English,USA,PG-13,4,4,2,1
Color,168,159,630,4206,English,USA,R,4,4,2,0
Color,169,20,2,3593,English,USA,R,4,4,4,1
Color,170,124,497,2591,English,USA,G,4,4,2,0
Color,171,160,2180,2792,English,USA,G,4,4,1,0
Color,172,35,237,99,English,USA,R,4,4,2,0
Color,71,76,1537,2870,English,USA,PG,4,4,4,1
' Black and White',173,153,1501,828,English,USA,PG,4,4,2,0
Color,174,161,2181,4207,English,Germany,PG,4,4,2,0
Color,96,25,745,2291,English,USA,PG,4,4,2,0
Color,175,162,2182,4208,English,USA,PG,4,4,2,0
Color,176,1,60,295,English,USA,PG-13,4,4,2,0
Color,177,0,441,1449,English,USA,R,4,4,2,0
Color,103,20,153,1287,English,Germany,R,4,4,4,0
Color,48,20,72,211,English,USA,R,4,4,4,1
Color,133,120,2183,669,English,USA,PG-13,4,3,2,1
Color,130,163,2184,1079,English,USA,R,4,4,4,0
Color,178,33,460,51,English,Germany,R,4,4,4,0
Color,10,164,2185,2415,English,USA,PG,4,4,2,0
Color,179,165,1052,2865,English,USA,PG-13,4,4,2,0
Color,25,138,295,3783,English,USA,PG-13,4,4,2,0
Color,161,58,183,518,English,USA,PG,4,4,2,0
Color,180,166,1055,2199,English,USA,PG-13,4,4,2,0
Color,181,35,237,42,English,USA,PG-13,4,4,4,0
Color,182,167,962,304,English,USA,PG-13,4,4,2,0
Color,183,168,2186,4209,English,USA,PG,4,4,2,0
Color,84,8,2187,4210,English,USA,PG-13,4,4,2,0
Color,184,169,2188,1103,English,USA,PG-13,4,4,2,0
Color,116,109,2189,4211,English,France,R,4,4,2,0
Color,185,170,2190,4053,English,USA,G,4,4,2,1
Color,186,171,2191,1396,English,USA,PG,2,4,2,0
Color,54,138,240,4212,English,USA,PG-13,4,4,4,1
Color,48,20,22,51,English,USA,R,4,4,4,0
Color,187,34,2192,4213,Mandarin,China,R,4,4,4,0
Color,188,30,336,368,English,USA,PG,4,4,2,0
Color,189,172,91,4214,English,USA,PG-13,4,4,2,0
Color,18,173,101,2105,English,USA,R,4,4,4,1
Color,190,166,2193,2992,English,USA,R,4,4,2,0
Color,191,174,99,61,English,France,PG-13,4,4,2,0
Color,192,175,1431,2313,English,USA,R,4,4,4,0
Color,193,176,442,2446,English,USA,PG,4,4,2,0
Color,185,13,88,4215,English,USA,PG,4,4,2,1
Color,85,177,2194,4162,English,USA,PG,4,4,2,1
Color,16,178,2195,4142,English,USA,PG-13,4,4,4,0
Color,5,179,388,7,English,USA,G,4,4,2,1
Color,16,180,2196,410,English,USA,PG-13,4,4,4,1
Color,16,18,180,2196,English,USA,PG-13,4,4,4,1
Color,194,30,153,242,English,USA,PG-13,4,4,2,0
Color,172,60,1246,4216,English,USA,PG-13,4,4,2,1
Color,195,1,130,360,English,UK,PG-13,4,4,2,0
Color,90,181,1035,810,English,USA,PG-13,4,4,2,1
Color,196,182,247,683,English,USA,PG-13,4,4,2,1
Color,197,183,2197,640,English,USA,PG,4,4,2,0
Color,198,99,812,3548,English,USA,R,4,4,2,0
Color,199,184,363,528,English,USA,PG-13,4,4,4,0
Color,61,185,931,4217,English,USA,PG,4,4,2,1
Color,200,186,281,4218,English,USA,PG-13,4,3,2,0
Color,126,187,169,250,English,UK,PG,4,4,2,0
Color,15,14,737,2398,English,USA,PG-13,4,4,2,1
Color,29,33,46,317,English,USA,G,4,4,2,1
Color,165,156,169,990,English,USA,PG-13,4,4,2,0
Color,25,188,2198,4219,English,USA,PG-13,4,4,2,1
Color,43,42,421,2365,English,USA,PG-13,4,4,4,1
Color,201,189,2199,4220,English,USA,PG,4,4,2,1
Color,128,190,2200,4221,English,USA,PG,4,4,2,1
Color,202,191,1225,4222,English,USA,PG,4,4,2,0
Color,32,192,285,4223,English,USA,PG-13,4,4,2,1
Color,48,20,109,167,English,USA,R,4,4,4,1
Color,203,193,1809,4224,English,USA,G,4,4,2,1
Color,202,21,250,633,English,USA,R,4,4,2,1
Color,68,49,300,1304,English,USA,R,4,4,4,1
Color,131,99,695,2644,English,USA,R,4,3,2,1
Color,129,21,39,2663,English,USA,PG-13,4,4,2,1
Color,170,194,2201,2642,English,USA,PG,4,4,2,0
Color,205,195,2202,372,English,USA,PG,4,4,2,0
Color,11,56,384,1044,English,USA,PG-13,4,4,2,1
Color,206,196,305,3101,English,USA,PG-13,4,4,2,1
Color,126,13,196,88,English,USA,PG-13,4,4,2,0
Color,38,197,1030,868,English,USA,PG-13,4,4,4,0
Color,97,198,2203,2807,English,USA,PG,4,4,2,0
Color,43,72,561,3866,English,USA,PG,4,4,4,1
Color,130,199,1428,4222,English,USA,R,4,4,2,0
Color,207,200,2204,4225,Aboriginal,UK,PG-13,4,4,2,0
Color,208,187,1873,633,English,USA,PG,4,4,2,0
Color,156,69,60,153,English,USA,PG-13,4,4,2,0
Color,107,113,130,276,English,USA,PG-13,4,4,4,0
Color,120,201,2205,4226,English,USA,PG-13,4,4,2,0
Color,165,75,773,2241,English,Germany,R,4,4,2,0
Color,209,202,263,4227,English,USA,PG,4,4,2,0
Color,128,203,1528,4228,English,USA,G,4,4,2,1
Color,126,86,48,100,English,USA,PG,4,4,4,0
Color,210,202,2206,1793,English,USA,PG-13,4,4,2,0
Color,211,42,75,326,English,USA,R,4,4,2,0
Color,212,22,2207,4229,English,UK,PG-13,4,4,4,0
Color,148,137,2169,4191,English,USA,PG-13,4,4,2,0
Color,213,204,874,4230,English,USA,R,3,3,4,1
Color,84,205,748,3048,English,USA,PG-13,4,4,4,0
Color,214,206,126,618,English,UK,PG,4,4,2,0
' Black and White',215,30,579,436,English,USA,PG-13,4,4,4,1
Color,156,93,946,3189,English,USA,PG-13,4,4,2,1
Color,49,74,127,1019,English,USA,PG-13,3,4,2,1
Color,43,33,2208,3585,English,USA,PG-13,4,4,4,1
Color,83,86,25,647,English,USA,PG,4,4,2,1
Color,116,109,950,1469,English,USA,PG-13,4,4,2,1
Color,72,42,61,840,English,USA,R,4,4,2,1
Color,151,75,85,3006,English,USA,PG-13,4,4,2,1
Color,216,174,187,180,English,Germany,PG-13,4,4,2,0
Color,217,26,196,172,English,USA,PG,4,4,2,1
Color,218,207,2209,4231,English,USA,PG,4,4,2,1
Color,219,156,32,101,English,USA,R,4,4,2,1
Color,218,173,376,1230,English,USA,G,4,4,2,0
Color,25,91,2211,4150,English,USA,PG-13,4,4,2,0
Color,220,141,295,4233,English,USA,PG-13,4,4,4,0
Color,165,14,163,4234,English,USA,R,4,4,4,1
Color,220,209,833,795,English,USA,R,4,4,2,1
Color,151,210,109,75,English,USA,PG-13,4,4,2,1
Color,221,211,475,2735,English,USA,PG,4,4,2,0
Color,222,141,283,481,English,USA,PG-13,4,4,4,1
Color,223,212,2212,3465,English,USA,R,4,4,4,0
Color,21,138,169,2105,English,USA,PG-13,4,4,2,0
Color,131,213,2213,640,English,USA,PG-13,4,3,4,0
Color,14,214,874,4235,English,USA,PG-13,4,4,4,0
Color,41,215,2214,4236,English,USA,PG-13,4,4,2,0
Color,224,51,473,3036,English,UK,PG,4,4,2,0
Color,225,82,75,2132,English,USA,PG-13,4,4,4,0
Color,226,216,2215,4237,English,USA,R,4,4,2,0
Color,228,218,126,2166,English,USA,PG,4,4,2,0
Color,229,219,1028,4239,English,USA,PG-13,4,4,2,0
Color,230,27,2217,4240,English,USA,PG-13,4,4,4,0
Color,231,220,1069,1094,English,USA,PG-13,4,4,2,1
Color,154,221,930,4241,English,USA,PG,4,4,2,1
Color,232,222,2218,4242,English,UK,R,3,4,2,0
Color,158,196,1290,2987,English,USA,PG-13,4,4,2,1
Color,149,67,148,4243,English,USA,PG,4,4,2,0
Color,52,224,563,4244,English,USA,PG-13,4,4,2,0
Color,37,225,2219,4245,English,USA,PG-13,4,4,2,0
Color,68,21,40,3668,English,USA,R,4,4,4,0
Color,150,226,311,1022,English,USA,PG-13,4,4,2,0
Color,51,130,252,503,English,USA,PG-13,4,4,2,1
Color,234,35,237,54,English,USA,R,4,4,2,1
Color,209,56,936,230,English,USA,PG-13,4,4,2,1
Color,215,37,162,4246,English,USA,PG-13,4,4,4,1
Color,235,71,2220,574,English,USA,R,4,4,2,1
Color,24,120,139,4247,English,USA,PG-13,4,3,2,1
Color,119,99,252,161,English,USA,PG,4,4,2,1
Color,64,227,2221,1037,English,USA,PG,4,4,2,1
Color,237,130,211,226,English,USA,PG-13,4,4,2,1
Color,102,99,82,4248,English,USA,PG-13,4,4,2,0
Color,231,196,2222,4249,English,USA,PG-13,4,4,2,1
Color,60,52,372,1690,English,USA,G,4,4,2,1
Color,206,26,196,172,English,USA,PG-13,4,4,2,1
Color,231,192,138,203,English,USA,PG-13,4,4,2,1
Color,220,63,211,3165,English,USA,PG-13,4,4,2,1
Color,48,20,2223,4250,English,USA,R,4,4,4,1
Color,238,211,226,1450,English,Germany,PG-13,4,4,2,1
Color,175,51,2224,4251,English,USA,PG,4,4,2,1
Color,134,76,0,950,English,USA,R,4,4,4,1
Color,239,196,665,4252,English,USA,PG,4,4,2,1
